%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017662107342449,3675,0,,0.1857,-0.0728,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662132779409,3676,0,,0.1813,-0.0784,0.3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662157917068,3677,0,,0.1835,-0.0784,0.3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662183067821,3678,0,,0.1802,-0.0863,0.3686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662207678341,3679,0,,0.1834,-0.0864,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662232522208,3680,0,,0.1824,-0.083,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662258040068,3681,0,,0.1845,-0.083,0.3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662282376673,3682,0,,0.1825,-0.0738,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662307312973,3683,0,,0.1834,-0.0853,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662332513967,3684,0,,0.1824,-0.083,0.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662357422975,3685,0,,0.1824,-0.0795,0.3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662382417383,3686,0,,0.1824,-0.0807,0.3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662407983425,3687,0,,0.1812,-0.091,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662432370808,3688,0,,0.1813,-0.0852,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662457534934,3689,0,,0.1813,-0.0796,0.3598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662482711028,3690,0,,0.1813,-0.0785,0.3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662507613270,3691,0,,0.1833,-0.0921,0.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662533759727,3692,0,,0.1812,-0.0898,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662558057281,3693,0,,0.1813,-0.0865,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662584082834,3694,0,,0.1834,-0.0842,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662606859089,3695,0,,0.1844,-0.0899,0.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662633026832,3696,0,,0.1801,-0.0909,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662658186098,3697,0,,0.1844,-0.0888,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662683016818,3698,0,,0.1824,-0.0784,0.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662708100492,3699,0,,0.1844,-0.0921,0.3678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662734196212,3700,0,,0.1813,-0.0829,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662758270371,3701,0,,0.1813,-0.0829,0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662783175376,3702,0,,0.1802,-0.0863,0.3686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662808369244,3703,0,,0.1823,-0.092,0.3689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662833380362,3704,0,,0.1792,-0.0806,0.3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
